mass1,mass2,mass3
3.9269908169872427,2.7143360527015816,5.0893800988154645
4.457144737243652,4.66531229019165,1.6631877422332764
4.457144737243652,4.66531229019165,1.6631877422332764
1.8356379270553589,6.359434127807617,7.885112762451172
1.8356379270553589,6.359434127807617,7.885112762451172
8.43448257446289,3.455395460128784,1.3458950519561768
8.43448257446289,3.455395460128784,1.3458950519561768
5.359027862548828,9.172430992126465,4.359487056732178
5.359027862548828,9.172430992126465,4.359487056732178
7.839401721954346,2.455963611602783,9.297689437866211
7.839401721954346,2.455963611602783,9.297689437866211
